Year_Month,Card Type,Travel_Mode,Trip
Nov-16,Employee,Ferry,"5,914"
Nov-16,Free Travel,Train,"33,096"
Nov-16,Free Travel,Bus,"36,217"
Nov-16,Free Travel,Light Rail,776
Nov-16,Free Travel,Ferry,"2,271"
Nov-16,School Student,Train,"1,013,962"
Nov-16,School Student,Bus,"2,792,634"
Nov-16,School Student,Light Rail,"5,599"
Nov-16,School Student,Ferry,"2,150"
Nov-16,Senior/Pensioner,Train,"2,969,184"
Nov-16,Senior/Pensioner,Bus,"4,316,765"
Nov-16,Senior/Pensioner,Light Rail,"130,118"
Nov-16,Senior/Pensioner,Ferry,"195,969"
Nov-16,Sgl Trip Ferry Adult,Ferry,"57,975"
Nov-16,Sgl Trip Ferry Child/Youth,Ferry,"6,023"
Nov-16,Sgl Trip LR Adult,Light Rail,"2,204"
Nov-16,Sgl Trip LR Child/Youth,Light Rail,344
Nov-16,Sgl Trip Rail Adult,Train,"320,085"
Nov-16,Sgl Trip Rail Child/Youth,Train,"51,606"
Dec-16,Adult,Train,"21,532,401"
Dec-16,Adult,Bus,"12,839,969"
Dec-16,Adult,Light Rail,"533,991"
Dec-16,Adult,Ferry,"1,050,663"
Dec-16,Adult Single Bus Trip 1,Bus,"190,339"
Dec-16,Adult Single Bus Trip 2,Bus,"124,517"
Dec-16,Adult Single Bus Trip 3,Bus,"51,178"
Dec-16,Child/Youth,Train,"1,353,758"
Dec-16,Child/Youth,Bus,"1,311,601"
Dec-16,Child/Youth,Light Rail,"39,398"
Dec-16,Child/Youth,Ferry,"144,692"
Dec-16,Child/Youth Single Bus Trip 1,Bus,"65,006"
Dec-16,Child/Youth Single Bus Trip 2,Bus,"48,328"
Dec-16,Child/Youth Single Bus Trip 3,Bus,"15,754"
Dec-16,Concession,Train,"1,361,789"
Dec-16,Concession,Bus,"1,038,399"
Dec-16,Concession,Light Rail,"24,597"
Dec-16,Concession,Ferry,"27,905"
Dec-16,Employee,Train,"285,847"
Dec-16,Employee,Bus,"71,339"
Dec-16,Employee,Ferry,"5,970"
Dec-16,Free Travel,Train,"29,099"
Dec-16,Free Travel,Bus,"34,095"
Dec-16,Free Travel,Light Rail,752
Dec-16,Free Travel,Ferry,"2,219"
Dec-16,School Student,Train,"404,194"
Dec-16,School Student,Bus,"1,067,910"
Dec-16,School Student,Light Rail,"2,109"
Dec-16,School Student,Ferry,796
Dec-16,Senior/Pensioner,Train,"2,773,808"
Dec-16,Senior/Pensioner,Bus,"4,022,430"
Dec-16,Senior/Pensioner,Light Rail,"122,012"
Dec-16,Senior/Pensioner,Ferry,"187,261"
Dec-16,Sgl Trip Ferry Adult,Ferry,"70,707"
Dec-16,Sgl Trip Ferry Child/Youth,Ferry,"16,773"
Dec-16,Sgl Trip LR Adult,Light Rail,"2,875"
Dec-16,Sgl Trip LR Child/Youth,Light Rail,787
Dec-16,Sgl Trip Rail Adult,Train,"362,922"
Dec-16,Sgl Trip Rail Child/Youth,Train,"85,766"
Jan-17,Adult,Train,"20,689,527"
Jan-17,Adult,Bus,"12,658,936"
Jan-17,Adult,Light Rail,"313,530"
Jan-17,Adult,Ferry,"1,164,945"
Jan-17,Adult Single Bus Trip 1,Bus,"182,210"
Jan-17,Adult Single Bus Trip 2,Bus,"116,130"
Jan-17,Adult Single Bus Trip 3,Bus,"46,161"
Jan-17,Child/Youth,Train,"1,485,300"
Jan-17,Child/Youth,Bus,"1,405,219"
Jan-17,Child/Youth,Light Rail,"33,524"
Jan-17,Child/Youth,Ferry,"217,918"
Jan-17,Child/Youth Single Bus Trip 1,Bus,"66,323"
Jan-17,Child/Youth Single Bus Trip 2,Bus,"53,334"
Jan-17,Child/Youth Single Bus Trip 3,Bus,"18,050"
Jan-17,Concession,Train,"1,255,327"
Jan-17,Concession,Bus,"985,862"
Jan-17,Concession,Light Rail,"14,678"
Jan-17,Concession,Ferry,"28,552"
Jan-17,Employee,Train,"259,349"
Jan-17,Employee,Bus,"66,458"
Jan-17,Employee,Ferry,"5,959"
Jan-17,Free Travel,Train,"26,745"
Jan-17,Free Travel,Bus,"31,281"
Jan-17,Free Travel,Light Rail,394
Jan-17,Free Travel,Ferry,"2,234"
Jan-17,School Student,Train,"67,891"
Jan-17,School Student,Bus,"168,257"
Jan-17,School Student,Light Rail,323
Jan-17,School Student,Ferry,139
Jan-17,Senior/Pensioner,Train,"2,566,223"
Jan-17,Senior/Pensioner,Bus,"3,752,674"
Jan-17,Senior/Pensioner,Light Rail,"63,828"
Jan-17,Senior/Pensioner,Ferry,"220,534"
Jan-17,Sgl Trip Ferry Adult,Ferry,"76,631"
Jan-17,Sgl Trip Ferry Child/Youth,Ferry,"21,171"
Jan-17,Sgl Trip LR Adult,Light Rail,"1,986"
Jan-17,Sgl Trip LR Child/Youth,Light Rail,735
Jan-17,Sgl Trip Rail Adult,Train,"299,852"
Jan-17,Sgl Trip Rail Child/Youth,Train,"85,208"
Feb-17,Adult,Train,"21,960,594"
Feb-17,Adult,Bus,"13,182,869"
Feb-17,Adult,Light Rail,"545,607"
Feb-17,Adult,Ferry,"865,014"
Feb-17,Adult Single Bus Trip 1,Bus,"167,293"
Feb-17,Adult Single Bus Trip 2,Bus,"104,008"
Feb-17,Adult Single Bus Trip 3,Bus,"39,559"
Feb-17,Child/Youth,Train,"977,309"
Feb-17,Child/Youth,Bus,"1,166,175"
Feb-17,Child/Youth,Light Rail,"32,626"
Feb-17,Child/Youth,Ferry,"57,121"
Feb-17,Child/Youth Single Bus Trip 1,Bus,"39,460"
Feb-17,Child/Youth Single Bus Trip 2,Bus,"26,163"
Feb-17,Child/Youth Single Bus Trip 3,Bus,"7,942"
Feb-17,Concession,Train,"1,527,275"
Feb-17,Concession,Bus,"1,240,006"
Feb-17,Concession,Light Rail,"28,344"
Feb-17,Concession,Ferry,"23,803"
Feb-17,Employee,Train,"287,362"
Feb-17,Employee,Bus,"69,228"
Feb-17,Employee,Ferry,"4,826"
Feb-17,Free Travel,Train,"30,092"
Feb-17,Free Travel,Bus,"33,326"
Feb-17,Free Travel,Light Rail,697
Feb-17,Free Travel,Ferry,"1,897"
Feb-17,School Student,Train,"1,028,738"
Feb-17,School Student,Bus,"2,600,682"
Feb-17,School Student,Light Rail,"6,101"
Feb-17,School Student,Ferry,"1,914"
Feb-17,Senior/Pensioner,Train,"2,620,981"
Feb-17,Senior/Pensioner,Bus,"3,857,972"
Feb-17,Senior/Pensioner,Light Rail,"124,005"
Feb-17,Senior/Pensioner,Ferry,"169,864"
Feb-17,Sgl Trip Ferry Adult,Ferry,"56,176"
Feb-17,Sgl Trip Ferry Child/Youth,Ferry,"5,700"
Feb-17,Sgl Trip LR Adult,Light Rail,"2,500"
Feb-17,Sgl Trip LR Child/Youth,Light Rail,428
Feb-17,Sgl Trip Rail Adult,Train,"288,914"
Feb-17,Sgl Trip Rail Child/Youth,Train,"45,771"
Mar-17,Adult,Train,"25,670,277"
Mar-17,Adult,Bus,"15,239,178"
Mar-17,Adult,Light Rail,"639,505"
Mar-17,Adult,Ferry,"882,559"
Mar-17,Adult Single Bus Trip 1,Bus,"177,223"
Mar-17,Adult Single Bus Trip 2,Bus,"109,926"
Mar-17,Adult Single Bus Trip 3,Bus,"42,288"
Mar-17,Child/Youth,Train,"1,061,092"
Mar-17,Child/Youth,Bus,"1,229,286"
Mar-17,Child/Youth,Light Rail,"35,233"
Mar-17,Child/Youth,Ferry,"63,608"
Mar-17,Child/Youth Single Bus Trip 1,Bus,"43,347"
Mar-17,Child/Youth Single Bus Trip 2,Bus,"26,923"
Mar-17,Child/Youth Single Bus Trip 3,Bus,"8,514"
Mar-17,Concession,Train,"2,874,972"
Mar-17,Concession,Bus,"2,375,998"
Mar-17,Concession,Light Rail,"36,897"
Mar-17,Concession,Ferry,"29,447"
Mar-17,Employee,Train,"331,728"
Mar-17,Employee,Bus,"78,376"
Mar-17,Employee,Ferry,"4,894"
Mar-17,Free Travel,Train,"34,502"
Mar-17,Free Travel,Bus,"38,557"
Mar-17,Free Travel,Light Rail,906
Mar-17,Free Travel,Ferry,"1,857"
Mar-17,School Student,Train,"1,236,042"
Mar-17,School Student,Bus,"3,137,115"
Mar-17,School Student,Light Rail,"7,282"
Mar-17,School Student,Ferry,"2,069"
Mar-17,Senior/Pensioner,Train,"2,983,728"
Mar-17,Senior/Pensioner,Bus,"4,304,384"
Mar-17,Senior/Pensioner,Light Rail,"151,966"
Mar-17,Senior/Pensioner,Ferry,"169,605"
Mar-17,Sgl Trip Ferry Adult,Ferry,"55,429"
Mar-17,Sgl Trip Ferry Child/Youth,Ferry,"6,774"
Mar-17,Sgl Trip LR Adult,Light Rail,"2,833"
Mar-17,Sgl Trip LR Child/Youth,Light Rail,440
Mar-17,Sgl Trip Rail Adult,Train,"320,440"
Mar-17,Sgl Trip Rail Child/Youth,Train,"53,604"
Apr-17,Adult,Train,"21,558,784"
Apr-17,Adult,Bus,"12,477,134"
Apr-17,Adult,Light Rail,"587,812"
Apr-17,Adult,Ferry,"953,347"
Apr-17,Adult Single Bus Trip 1,Bus,"158,538"
Apr-17,Adult Single Bus Trip 2,Bus,"98,729"
Apr-17,Adult Single Bus Trip 3,Bus,"39,330"
Apr-17,Child/Youth,Train,"1,333,722"
Apr-17,Child/Youth,Bus,"1,276,586"
Apr-17,Child/Youth,Light Rail,"48,789"
Apr-17,Child/Youth,Ferry,"149,935"
Apr-17,Child/Youth Single Bus Trip 1,Bus,"54,620"
Apr-17,Child/Youth Single Bus Trip 2,Bus,"42,726"
Apr-17,Child/Youth Single Bus Trip 3,Bus,"12,903"
Apr-17,Concession,Train,"2,080,422"
Apr-17,Concession,Bus,"1,647,277"
Apr-17,Concession,Light Rail,"30,959"
Apr-17,Concession,Ferry,"28,963"
Apr-17,Employee,Train,"260,847"
Apr-17,Employee,Bus,"65,750"
Apr-17,Employee,Ferry,"5,172"
Apr-17,Free Travel,Train,"29,582"
Apr-17,Free Travel,Bus,"33,012"
Apr-17,Free Travel,Light Rail,905
Apr-17,Free Travel,Ferry,"2,199"
Apr-17,School Student,Train,"427,515"
Apr-17,School Student,Bus,"1,062,002"
Apr-17,School Student,Light Rail,"2,198"
Apr-17,School Student,Ferry,839
Apr-17,Senior/Pensioner,Train,"2,679,990"
Apr-17,Senior/Pensioner,Bus,"3,754,438"
Apr-17,Senior/Pensioner,Light Rail,"141,087"
Apr-17,Senior/Pensioner,Ferry,"193,582"
Apr-17,Sgl Trip Ferry Adult,Ferry,"59,293"
Apr-17,Sgl Trip Ferry Child/Youth,Ferry,"15,138"
Apr-17,Sgl Trip LR Adult,Light Rail,"2,666"
Apr-17,Sgl Trip LR Child/Youth,Light Rail,821
Apr-17,Sgl Trip Rail Adult,Train,"298,912"
Apr-17,Sgl Trip Rail Child/Youth,Train,"75,955"
May-17,Adult,Train,"26,157,005"
May-17,Adult,Bus,"14,803,185"
May-17,Adult,Light Rail,"614,636"
May-17,Adult,Ferry,"812,318"
May-17,Adult Single Bus Trip 1,Bus,"168,079"
May-17,Adult Single Bus Trip 2,Bus,"102,429"
May-17,Adult Single Bus Trip 3,Bus,"39,400"
May-17,Child/Youth,Train,"952,898"
May-17,Child/Youth,Bus,"1,122,661"
May-17,Child/Youth,Light Rail,"31,460"
May-17,Child/Youth,Ferry,"63,543"
May-17,Child/Youth Single Bus Trip 1,Bus,"40,946"
May-17,Child/Youth Single Bus Trip 2,Bus,"25,907"
May-17,Child/Youth Single Bus Trip 3,Bus,"7,355"
May-17,Concession,Train,"2,727,746"
May-17,Concession,Bus,"2,193,095"
May-17,Concession,Light Rail,"32,391"
May-17,Concession,Ferry,"28,200"
May-17,Employee,Train,"332,707"
May-17,Employee,Bus,"77,797"
May-17,Employee,Ferry,"5,428"
May-17,Free Travel,Train,"35,442"
May-17,Free Travel,Bus,"40,054"
May-17,Free Travel,Light Rail,936
May-17,Free Travel,Ferry,"2,355"
May-17,School Student,Train,"1,272,946"
May-17,School Student,Bus,"3,124,770"
May-17,School Student,Light Rail,"6,885"
May-17,School Student,Ferry,"2,435"
May-17,Senior/Pensioner,Train,"3,039,985"
May-17,Senior/Pensioner,Bus,"4,329,706"
May-17,Senior/Pensioner,Light Rail,"144,208"
May-17,Senior/Pensioner,Ferry,"189,654"
May-17,Sgl Trip Ferry Adult,Ferry,"40,290"
May-17,Sgl Trip Ferry Child/Youth,Ferry,"5,607"
May-17,Sgl Trip LR Adult,Light Rail,"2,535"
May-17,Sgl Trip LR Child/Youth,Light Rail,432
May-17,Sgl Trip Rail Adult,Train,"293,744"
May-17,Sgl Trip Rail Child/Youth,Train,"50,537"
Jun-17,Adult,Train,"24,096,554"
Jun-17,Adult,Bus,"13,139,949"
Jun-17,Adult,Light Rail,"615,981"
Jun-17,Adult,Ferry,"791,353"
Jun-17,Adult Single Bus Trip 1,Bus,"149,534"
Jun-17,Adult Single Bus Trip 2,Bus,"90,172"
Jun-17,Adult Single Bus Trip 3,Bus,"35,967"
Jun-17,Child/Youth,Train,"1,076,221"
Jun-17,Child/Youth,Bus,"1,066,813"
Jun-17,Child/Youth,Light Rail,"39,888"
Jun-17,Child/Youth,Ferry,"94,767"
Jun-17,Child/Youth Single Bus Trip 1,Bus,"38,891"
Jun-17,Child/Youth Single Bus Trip 2,Bus,"25,954"
Jun-17,Child/Youth Single Bus Trip 3,Bus,"7,945"
Jun-17,Concession,Train,"1,944,290"
Jun-17,Concession,Bus,"1,472,712"
Jun-17,Concession,Light Rail,"33,781"
Jun-17,Concession,Ferry,"26,673"
Jun-17,Employee,Train,"308,301"
Jun-17,Employee,Bus,"69,266"
Jun-17,Employee,Light Rail,1
Jun-17,Employee,Ferry,"5,164"
Jun-17,Free Travel,Train,"31,954"
Jun-17,Free Travel,Bus,"35,256"
Jun-17,Free Travel,Light Rail,956
Jun-17,Free Travel,Ferry,"2,211"
Jun-17,School Student,Train,"1,054,982"
Jun-17,School Student,Bus,"2,499,684"
Jun-17,School Student,Light Rail,"4,961"
Jun-17,School Student,Ferry,"1,764"
Jun-17,Senior/Pensioner,Train,"2,840,831"
Jun-17,Senior/Pensioner,Bus,"3,904,931"
Jun-17,Senior/Pensioner,Light Rail,"148,978"
Jun-17,Senior/Pensioner,Ferry,"180,835"
Jun-17,Sgl Trip Ferry Adult,Ferry,"42,949"
Jun-17,Sgl Trip Ferry Child/Youth,Ferry,"10,431"
Jun-17,Sgl Trip LR Adult,Light Rail,"2,837"
Jun-17,Sgl Trip LR Child/Youth,Light Rail,623
Jun-17,Sgl Trip Rail Adult,Train,"293,213"
Jun-17,Sgl Trip Rail Child/Youth,Train,"60,524"
Jul-17,Adult,Train,"23,827,242"
Jul-17,Adult,Bus,"13,625,495"
Jul-17,Adult,Light Rail,"607,262"
Jul-17,Adult,Ferry,"858,171"
Jul-17,Adult Single Bus Trip 1,Bus,"159,698"
Jul-17,Adult Single Bus Trip 2,Bus,"96,674"
Jul-17,Adult Single Bus Trip 3,Bus,"36,141"
Jul-17,Child/Youth,Train,"1,407,616"
Jul-17,Child/Youth,Bus,"1,386,168"
Jul-17,Child/Youth,Light Rail,"51,615"
Jul-17,Child/Youth,Ferry,"157,889"
Jul-17,Child/Youth Single Bus Trip 1,Bus,"55,170"
Jul-17,Child/Youth Single Bus Trip 2,Bus,"42,041"
Jul-17,Child/Youth Single Bus Trip 3,Bus,"12,555"
Jul-17,Concession,Train,"1,719,629"
Jul-17,Concession,Bus,"1,361,714"
Jul-17,Concession,Light Rail,"30,979"
Jul-17,Concession,Ferry,"26,169"
Jul-17,CTP,Ferry,"2,138"
Jul-17,Employee,Train,"294,034"
Jul-17,Employee,Bus,"71,153"
Jul-17,Employee,Light Rail,1
Jul-17,Employee,Ferry,"4,730"
Jul-17,Free Travel,Train,"32,228"
Jul-17,Free Travel,Bus,"36,248"
Jul-17,Free Travel,Light Rail,665
Jul-17,Free Travel,Ferry,"2,328"
Jul-17,School Student,Train,"562,500"
Jul-17,School Student,Bus,"1,298,172"
Jul-17,School Student,Light Rail,"2,976"
Jul-17,School Student,Ferry,"1,043"
Jul-17,Senior/Pensioner,Train,"2,804,836"
Jul-17,Senior/Pensioner,Bus,"4,020,743"
Jul-17,Senior/Pensioner,Light Rail,"135,655"
