Year_Month,Card Type,Travel_Mode,Trip
Mar-17,Other,Ferry,4894
Mar-17,Free Opal,Train,34502
Mar-17,Free Opal,Bus,38557
Mar-17,Free Opal,Light Rail,906
Mar-17,Free Opal,Ferry,1857
Mar-17,School Opal,Train,1236042
Mar-17,School Opal,Bus,3137115
Mar-17,School Opal,Light Rail,7282
Mar-17,School Opal,Ferry,2069
Mar-17,Gold Opal,Train,2983728
Mar-17,Gold Opal,Bus,4304384
Mar-17,Gold Opal,Light Rail,151966
Mar-17,Gold Opal,Ferry,169605
Mar-17,Opal Single Ticket,Ferry,55429
Mar-17,Opal Single Ticket,Ferry,6774
Mar-17,Opal Single Ticket,Light Rail,2833
Mar-17,Opal Single Ticket,Light Rail,440
Mar-17,Opal Single Ticket,Train,320440
Mar-17,Opal Single Ticket,Train,53604
Apr-17,Adult,Train,21558784
Apr-17,Adult,Bus,12477134
Apr-17,Adult,Light Rail,587812
Apr-17,Adult,Ferry,953347
Apr-17,Adult,Bus,158538
Apr-17,Adult,Bus,98729
Apr-17,Adult,Bus,39330
Apr-17,Child/Youth,Train,1333722
Apr-17,Child/Youth,Bus,1276586
Apr-17,Child/Youth,Light Rail,48789
Apr-17,Child/Youth,Ferry,149935
Apr-17,Opal Single Ticket,Bus,54620
Apr-17,Opal Single Ticket,Bus,42726
Apr-17,Opal Single Ticket,Bus,12903
Apr-17,Concession,Train,2080422
Apr-17,Concession,Bus,1647277
Apr-17,Concession,Light Rail,30959
Apr-17,Concession,Ferry,28963
Apr-17,Other,Train,260847
Apr-17,Other,Bus,65750
Apr-17,Other,Ferry,5172
Apr-17,Free Opal,Train,29582
Apr-17,Free Opal,Bus,33012
Apr-17,Free Opal,Light Rail,905
Apr-17,Free Opal,Ferry,2199
Apr-17,School Opal,Train,427515
Apr-17,School Opal,Bus,1062002
Apr-17,School Opal,Light Rail,2198
Apr-17,School Opal,Ferry,839
Apr-17,Gold Opal,Train,2679990
Apr-17,Gold Opal,Bus,3754438
Apr-17,Gold Opal,Light Rail,141087
Apr-17,Gold Opal,Ferry,193582
Apr-17,Opal Single Ticket,Ferry,59293
Apr-17,Opal Single Ticket,Ferry,15138
Apr-17,Opal Single Ticket,Light Rail,2666
Apr-17,Opal Single Ticket,Light Rail,821
Apr-17,Opal Single Ticket,Train,298912
Apr-17,Opal Single Ticket,Train,75955
May-17,Adult,Train,26157005
May-17,Adult,Bus,14803185
May-17,Adult,Light Rail,614636
May-17,Adult,Ferry,812318
May-17,Adult,Bus,168079
May-17,Adult,Bus,102429
May-17,Adult,Bus,39400
May-17,Child/Youth,Train,952898
May-17,Child/Youth,Bus,1122661
May-17,Child/Youth,Light Rail,31460
May-17,Child/Youth,Ferry,63543
May-17,Opal Single Ticket,Bus,40946
May-17,Opal Single Ticket,Bus,25907
May-17,Opal Single Ticket,Bus,7355
May-17,Concession,Train,2727746
May-17,Concession,Bus,2193095
May-17,Concession,Light Rail,32391
May-17,Concession,Ferry,28200
May-17,Other,Train,332707
May-17,Other,Bus,77797
May-17,Other,Ferry,5428
May-17,Free Opal,Train,35442
May-17,Free Opal,Bus,40054
May-17,Free Opal,Light Rail,936
May-17,Free Opal,Ferry,2355
May-17,School Opal,Train,1272946
May-17,School Opal,Bus,3124770
May-17,School Opal,Light Rail,6885
May-17,School Opal,Ferry,2435
May-17,Gold Opal,Train,3039985
May-17,Gold Opal,Bus,4329706
May-17,Gold Opal,Light Rail,144208
May-17,Gold Opal,Ferry,189654
May-17,Opal Single Ticket,Ferry,40290
May-17,Opal Single Ticket,Ferry,5607
May-17,Opal Single Ticket,Light Rail,2535
May-17,Opal Single Ticket,Light Rail,432
May-17,Opal Single Ticket,Train,293744
May-17,Opal Single Ticket,Train,50537
Jun-17,Adult,Train,24096554
Jun-17,Adult,Bus,13139949
Jun-17,Adult,Light Rail,615981
Jun-17,Adult,Ferry,791353
Jun-17,Adult,Bus,149534
Jun-17,Adult,Bus,90172
Jun-17,Adult,Bus,35967
Jun-17,Child/Youth,Train,1076221
Jun-17,Child/Youth,Bus,1066813
Jun-17,Child/Youth,Light Rail,39888
Jun-17,Child/Youth,Ferry,94767
